dataset,arm,class,precision,recall,f1,map50,map50_95
xwod,phase2,ALL,0.806263,0.744755,0.774289,0.778583,0.509622
xwod,a0r,ALL,0.825287,0.738737,0.779617,0.781507,0.509576
xwod,a1_dino,ALL,0.804138,0.733133,0.766996,0.7683,0.500361
bdd,phase2,ALL,0.697528,0.558234,0.620156,0.593829,0.35351
bdd,a0r,ALL,0.697587,0.565125,0.624408,0.59895,0.359606
bdd,a1_dino,ALL,0.700724,0.562569,0.624092,0.593462,0.354221
dawn,phase2,ALL,0.835133,0.7659,0.79902,0.795367,0.51471
dawn,a0r,ALL,0.823892,0.769923,0.795994,0.793218,0.515951
dawn,a1_dino,ALL,0.829016,0.75886,0.792388,0.817292,0.525347
acdc,phase2,ALL,0.600493,0.384003,0.468445,0.406762,0.246982
acdc,a0r,ALL,0.572307,0.401223,0.471732,0.418792,0.254233
acdc,a1_dino,ALL,0.602061,0.38711,0.47123,0.404502,0.242447
xwod,phase2,person,,,,0.794276,0.456012
xwod,a0r,person,,,,0.791386,0.453156
xwod,a1_dino,person,,,,0.782769,0.448429
xwod,phase2,bicycle,,,,0.912242,0.652022
xwod,a0r,bicycle,,,,0.926631,0.658199
xwod,a1_dino,bicycle,,,,0.899763,0.637689
xwod,phase2,car,,,,0.865884,0.574511
xwod,a0r,car,,,,0.867923,0.576218
xwod,a1_dino,car,,,,0.861689,0.569414
xwod,phase2,motorcycle,,,,0.749369,0.38373
xwod,a0r,motorcycle,,,,0.757273,0.384546
xwod,a1_dino,motorcycle,,,,0.73047,0.367905
xwod,phase2,bus,,,,0.546192,0.395929
xwod,a0r,bus,,,,0.54294,0.391725
xwod,a1_dino,bus,,,,0.534374,0.388344
xwod,phase2,truck,,,,0.803532,0.595526
xwod,a0r,truck,,,,0.802889,0.593611
xwod,a1_dino,truck,,,,0.800737,0.590385
bdd,phase2,person,,,,0.660328,0.329676
bdd,a0r,person,,,,0.66619,0.332112
bdd,a1_dino,person,,,,0.652148,0.326911
bdd,phase2,bicycle,,,,0.506268,0.242159
bdd,a0r,bicycle,,,,0.508358,0.24894
bdd,a1_dino,bicycle,,,,0.500864,0.244594
bdd,phase2,car,,,,0.812158,0.488039
bdd,a0r,car,,,,0.813697,0.489135
bdd,a1_dino,car,,,,0.808035,0.485541
bdd,phase2,motorcycle,,,,0.441491,0.218963
bdd,a0r,motorcycle,,,,0.458351,0.237166
bdd,a1_dino,motorcycle,,,,0.467705,0.233066
bdd,phase2,bus,,,,0.57155,0.428385
bdd,a0r,bus,,,,0.58199,0.439137
bdd,a1_dino,bus,,,,0.569486,0.429618
bdd,phase2,truck,,,,0.571178,0.413838
bdd,a0r,truck,,,,0.565115,0.411147
bdd,a1_dino,truck,,,,0.562536,0.405593
dawn,phase2,person,,,,0.835594,0.511851
dawn,a0r,person,,,,0.843775,0.512575
dawn,a1_dino,person,,,,0.81967,0.498809
dawn,phase2,bicycle,,,,0.702656,0.355961
dawn,a0r,bicycle,,,,0.692584,0.374558
dawn,a1_dino,bicycle,,,,0.765926,0.371459
dawn,phase2,car,,,,0.928572,0.643501
dawn,a0r,car,,,,0.927857,0.643468
dawn,a1_dino,car,,,,0.924166,0.639338
dawn,phase2,motorcycle,,,,0.802188,0.489961
dawn,a0r,motorcycle,,,,0.796354,0.477293
dawn,a1_dino,motorcycle,,,,0.888918,0.564806
dawn,phase2,bus,,,,0.737958,0.573515
dawn,a0r,bus,,,,0.741511,0.574051
dawn,a1_dino,bus,,,,0.756774,0.578474
dawn,phase2,truck,,,,0.765234,0.513469
dawn,a0r,truck,,,,0.757228,0.513762
dawn,a1_dino,truck,,,,0.748296,0.499197
acdc,phase2,person,,,,0.477095,0.230001
acdc,a0r,person,,,,0.47897,0.230289
acdc,a1_dino,person,,,,0.487106,0.229101
acdc,phase2,bicycle,,,,0.218421,0.1164
acdc,a0r,bicycle,,,,0.214776,0.12448
acdc,a1_dino,bicycle,,,,0.208665,0.110656
acdc,phase2,car,,,,0.701014,0.454301
acdc,a0r,car,,,,0.706823,0.453806
acdc,a1_dino,car,,,,0.698486,0.448643
acdc,phase2,motorcycle,,,,0.231888,0.118824
acdc,a0r,motorcycle,,,,0.265575,0.133859
acdc,a1_dino,motorcycle,,,,0.218393,0.101857
acdc,phase2,bus,,,,0.25674,0.190326
acdc,a0r,bus,,,,0.288781,0.209683
acdc,a1_dino,bus,,,,0.258707,0.187374
acdc,phase2,truck,,,,0.555415,0.372043
acdc,a0r,truck,,,,0.557828,0.373281
acdc,a1_dino,truck,,,,0.555656,0.377051
